,wkr,wkrname,bula,year,Flooded,PostPeriod,spd_e_vs,spd_z_vs,cdu_e_vs,cdu_z_vs,pds_e_vs,pds_z_vs,del_spd_z_vs,Lagspd_z_vs,popdensity,shpop_o60,shmanu
152,76,Berlin-Mitte,911,2002,0,1,41.30855942,36.94330978,24.70301437,23.20545387,12.90259361,9.89341259,-2.412914276,39.35622406,7.070720673,18,20.89999962
153,77,Berlin-Pankow,911,1998,0,0,36.11458969,35.38737869,14.89748478,15.17950916,32.68704987,25.3455677,NA,NA,3.153758287,19.05802938,26.10375903
154,77,Berlin-Pankow,911,2002,0,1,44.69997406,37.80097961,16.75264931,15.93221092,26.14258003,20.20262718,2.413600922,35.38737869,2.769702196,19.39999962,20.89999962
155,78,Berlin-Reinickendorf,911,1998,0,0,47.70118332,40.75995636,36.95872879,33.39821243,1.788148284,2.209877014,NA,NA,3.175868273,19.05802868,26.1037597
156,78,Berlin-Reinickendorf,911,2002,0,1,42.45752716,35.08506775,42.02753448,38.13294983,1.906187057,1.966485381,-5.674888611,40.75995636,3.104006529,24.70000076,20.89999962
157,79,Berlin-Spandau - Charlottenburg-Nord,911,1998,0,0,49.68377304,43.68307114,33.82622147,30.49478149,2.050528049,2.582622051,NA,NA,2.95870471,19.05802973,26.10375993
158,79,Berlin-Spandau - Charlottenburg-Nord,911,2002,0,1,44.14459229,37.76942444,39.00809479,34.96861267,2.042658329,2.338380814,-5.913646698,43.68307114,2.801552057,23.70000076,20.89999962
159,80,Berlin-Steglitz - Zehlendorf,911,1998,0,0,42.70061874,35.42848969,39.43944931,33.4432373,1.394103646,2.026602507,NA,NA,2.734223604,19.05802869,26.10375867
160,80,Berlin-Steglitz - Zehlendorf,911,2002,0,1,40.83673477,31.56603241,38.44020844,35.31695175,1.524812102,1.882350206,-3.862457275,35.42848969,2.699263096,25.29999924,20.89999962
161,81,Berlin-Charlottenburg - Wilmersdorf,911,1998,0,0,43.25349045,36.07930374,33.41436005,29.3656826,1.721078753,2.434506655,NA,NA,5.169845104,19.05802872,26.10375893
162,81,Berlin-Charlottenburg - Wilmersdorf,911,2002,0,1,41.74966812,32.80882263,31.22503662,30.26266479,2.016049385,2.290559292,-3.27048111,36.07930374,5.085375309,23.39999962,20.89999962
163,82,Berlin-Tempelhof - Schšneberg,911,1998,0,0,41.3958931,39.23148346,35.84498596,30.1694603,1.719755888,2.503706455,NA,NA,5.897088051,19.05802923,26.10375895
164,82,Berlin-Tempelhof - Schšneberg,911,2002,0,1,35.73862839,34.9624176,34.6172142,31.99372673,1.742715359,2.351710796,-4.269065857,39.23148346,6.412457943,21.70000076,20.89999962
165,83,Berlin-Neukšlln,911,1998,0,0,48.53603745,42.09225845,31.78480339,28.83848763,2.404109716,2.989297867,NA,NA,6.095379353,19.0580299,26.10375866
166,83,Berlin-Neukšlln,911,2002,0,1,41.94836426,36.30573654,36.61698532,33.8012085,3.464130402,3.148255825,-5.786521912,42.09225845,5.982049465,20.20000076,20.89999962
167,84,Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg-Ost,911,1998,0,0,36.46178055,35.63105011,13.51002502,13.65000343,25.06391144,20.33371544,NA,NA,10.82534122,19.05802895,26.1037593
168,84,Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg-Ost,911,2002,0,1,29.12739754,39.19758987,13.03739738,12.84817028,21.37976646,17.19412994,3.566539764,35.63105011,11.14692974,14.30000019,20.89999962
169,85,Berlin-Treptow - Kšpenick,911,1998,0,0,37.62823868,38.3695755,15.75838947,16.04091644,34.83865356,27.52376175,NA,NA,1.366433859,19.05802727,26.10376018
170,85,Berlin-Treptow - Kšpenick,911,2002,0,1,39.31442642,41.21064377,18.12849808,17.45608711,30.13116074,23.41407967,2.841068268,38.3695755,1.427536726,26.60000038,20.89999962
171,86,Berlin-Marzahn - Hellersdorf,911,1998,0,0,26.56006813,34.35320663,14.50497532,15.22202206,46.66205215,32.57550812,NA,NA,5.545167923,19.05802959,26.10375969
172,86,Berlin-Marzahn - Hellersdorf,911,2002,0,1,33.6781311,38.75849915,18.04180336,17.66933632,37.7200737,27.27745247,4.405292511,34.35320663,5.091701984,13.69999981,20.89999962
173,87,Berlin-Lichtenberg,911,1998,0,0,31.71658516,34.51057434,13.88219929,14.29821968,42.50953293,34.04409409,NA,NA,4.712798119,19.05802845,26.1037606
174,87,Berlin-Lichtenberg,911,2002,0,1,32.52925873,38.71772766,16.91827393,16.1483326,39.62269592,29.31283188,4.20715332,34.51057434,4.896507263,18.89999962,20.89999962
175,88,Aachen,905,1998,0,0,47.26937866,39.19946671,42.528759,34.95170212,1.046031117,1.737199187,NA,NA,1.488987327,20.49056905,29.36082036
176,88,Aachen,905,2002,0,1,47.36381531,36.09648132,37.97583008,33.97896194,1.246556401,1.626466751,-3.102985382,39.19946671,1.464999437,22,24.29999924
177,89,Kreis Aachen,905,1998,0,0,53.11563492,49.77486801,38.36764526,34.20994949,1.043378353,1.118434072,NA,NA,0.559957504,22.10605925,45.8325502
178,89,Kreis Aachen,905,2002,0,1,49.20521927,44.81300354,37.85834885,35.20766449,0.800376117,0.905510664,-4.961864471,49.77486801,0.564546287,23.29999924,42.09999847
179,90,Heinsberg,905,1998,0,0,40.21463394,39.67398453,49.21099091,44.09534454,0,0.764508128,NA,NA,0.381320775,20.43036965,46.65385716
180,90,Heinsberg,905,2002,0,1,36.89363861,35.935112,50.28688812,45.46234131,1.117501974,0.888492167,-3.738872528,39.67398453,0.392187685,21.70000076,38.90000153
181,91,DŸren,905,1998,0,0,47.07566071,45.35183716,43.4142189,38.87656403,0.884270012,1.024477839,NA,NA,0.277925313,20.84543131,44.14237831
182,91,DŸren,905,2002,0,1,45.46001816,40.97542191,43.2977562,39.82421875,0.870155334,0.897440016,-4.376415253,45.35183716,0.284784734,21.89999962,40.5
183,92,Erftkreis I,905,1998,0,0,53.02329636,48.24032593,38.43875504,34.25285339,0.777485847,0.955991566,NA,NA,0.608458579,20.01268059,42.01610239
184,92,Erftkreis I,905,2002,0,1,48.92050171,43.78800201,37.17172623,34.22650146,0.830705762,0.918088317,-4.452323914,48.24032593,0.618044376,21.70000076,32.79999924
185,93,Euskirchen - Erftkreis II,905,1998,0,0,43.25532532,40.3417244,46.75494003,40.38432693,0,0.919513941,NA,NA,0.21749787,21.28303934,44.99145828
186,93,Euskirchen - Erftkreis II,905,2002,0,1,40.16616821,37.02915955,44.85015106,40.86170578,1.087542176,0.970377982,-3.31256485,40.3417244,0.222298324,22.5,40.90000153
187,94,Kšln I,905,1998,0,0,51.6427803,46.34352875,33.16926193,28.96513557,1.36794734,1.629461169,NA,NA,2.447906971,21.02605968,26.53784028
188,94,Kšln I,905,2002,0,1,50.0219574,42.89398193,32.39918137,29.08228874,1.619702816,1.911837816,-3.449546814,46.34352875,2.089715958,22.29999924,21.5
189,95,Kšln II,905,1998,0,0,45.34009552,38.00442123,38.22252274,31.5754509,0.969854295,1.581801891,NA,NA,2.367957354,21.02605923,26.53784076
190,95,Kšln II,905,2002,0,1,43.90129852,36.30669403,34.17797852,30.697649,1.263079762,1.778638363,-1.697727203,38.00442123,2.924887657,22.29999924,21.5
191,96,Kšln III,905,1998,0,0,52.1028595,47.75458527,31.30165672,27.90817642,1.24319315,1.667904139,NA,NA,2.196377039,21.02606031,26.53783892
192,96,Kšln III,905,2002,0,1,50.3423996,44.56600952,30.12309074,27.26559067,1.955023766,1.995461106,-3.188575745,47.75458527,2.207158566,22.29999924,21.5
193,97,Bonn,905,1998,0,0,40.85894394,35.36039734,42.84879684,36.53829575,0,1.536224604,NA,NA,2.137397528,21.52321039,15.16415967
194,97,Bonn,905,2002,0,1,39.6682663,32.62233734,36.37672424,36.56707001,1.176902413,1.587856054,-2.738059998,35.36039734,2.12417984,22.60000038,16
195,98,Rhein-Sieg-Kreis I,905,1998,0,0,44.5748291,40.77636337,44.45210266,38.6204834,0.848435998,1.168909669,NA,NA,0.436850429,19.68428912,43.5712314
196,98,Rhein-Sieg-Kreis I,905,2002,0,1,44.1712265,37.69999695,40.8845787,38.64923096,0.743121803,0.989555657,-3.076366425,40.77636337,0.455385238,21.20000076,38.70000076
197,99,Rhein-Sieg-Kreis II,905,1998,0,0,41.61998367,34.9198761,48.75242615,41.68803024,0.637510419,0.995420754,NA,NA,0.533463538,19.6842896,34.12951902
198,99,Rhein-Sieg-Kreis II,905,2002,0,1,36.74572372,32.17860413,48.20959473,42.78108597,0.754348993,0.87015152,-2.741271973,34.9198761,0.549933195,21.20000076,28.89999962
199,100,Oberbergischer Kreis,905,1998,0,0,44.93329239,41.13943863,44.72359085,39.83903503,0,0.919541538,NA,NA,0.306934059,21.38480868,55.10501928
200,100,Oberbergischer Kreis,905,2002,0,1,43.43518448,38.40447235,45.18655396,41.74794388,0.827812612,0.976490617,-2.734966278,41.13943863,0.311641306,22.60000038,49.59999847
201,101,Rheinisch-Bergischer Kreis,905,1998,0,0,42.74274445,38.79035568,45.21591187,37.16766357,0.829675794,1.075578809,NA,NA,0.729836226,22.34582427,46.57803329
202,101,Rheinisch-Bergischer Kreis,905,2002,0,1,40.07516861,36.29579163,44.7882576,37.98221207,0.888145924,1.077102304,-2.494564056,38.79035568,0.627163053,23.60000038,35.20000076
203,102,Leverkusen - Kšln IV,905,1998,0,0,52.14049149,48.48282623,35.48968887,31.1007328,1.151938319,1.365309596,NA,NA,1.905240774,21.94863145,38.9844853
204,102,Leverkusen - Kšln IV,905,2002,0,1,49.7617569,45.3678894,34.09517288,31.06450653,1.22515738,1.489781976,-3.114936829,48.48282623,2.177157402,25.39999962,55.79999924
205,103,Wuppertal I,905,1998,0,0,54.65459061,47.83208847,32.72373962,28.4379425,1.444937348,1.781801701,NA,NA,2.250503778,23.29919204,43.86813988
206,103,Wuppertal I,905,2002,0,1,49.92667007,42.76114273,33.59517288,30.05547142,1.80568099,2.040601015,-5.07094574,47.83208847,2.422326088,24.89999962,35.79999924
207,104,Solingen - Remscheid - Wuppertal II,905,1998,0,0,49.95357132,45.11027145,39.5921402,32.43218231,0.149925038,1.417477727,NA,NA,1.844930291,23.50432892,51.43854318
208,104,Solingen - Remscheid - Wuppertal II,905,2002,0,1,47.07844543,41.41815948,37.61041641,34.2950058,1.140091896,1.415086508,-3.692111969,45.11027145,1.669517517,24.79999924,50.29999924
209,105,Mettmann I,905,1998,0,0,45.95185089,43.16677094,43.299366,35.40415192,1.016098022,1.254505634,NA,NA,1.497352719,21.70847023,36.2407482
210,105,Mettmann I,905,2002,0,1,42.77886581,39.33434296,42.26212311,37.42034912,0.976461709,1.056822062,-3.832427979,43.16677094,1.50310576,23.79999924,31.79999924
211,106,Mettmann II,905,1998,0,0,46.81128693,46.22327423,43.74401474,33.47729874,1.08950603,1.222339869,NA,NA,1.043874383,21.70846877,54.29349414
212,106,Mettmann II,905,2002,0,1,45.31980896,41.40981293,40.63312149,35.82804489,1.116084337,1.236791015,-4.813461304,46.22327423,1.048515916,23.79999924,47
213,107,DŸsseldorf I,905,1998,0,0,44.6752739,40.5595932,42.43146896,34.50699234,1.110904336,1.585084915,NA,NA,2.390921354,23.6204613,22.8530686
214,107,DŸsseldorf I,905,2002,0,1,44.06072998,36.67121124,40.3274765,35.58098984,1.13784194,1.464606762,-3.888381958,40.5595932,2.385498762,24.79999924,20.5
215,108,DŸsseldorf II,905,1998,0,0,50.26913452,46.59865952,34.75356293,31.25099564,1.307933211,1.804181218,NA,NA,2.984423876,23.62046008,22.85306877
216,108,DŸsseldorf II,905,2002,0,1,49.64493179,41.97822952,35.14856339,32.15340805,1.463852882,1.72433424,-4.620429993,46.59865952,2.96385169,24.79999924,20.5
217,109,Neuss I,905,1998,0,0,45.52253342,42.33292389,45.28162766,39.32878113,0.922098219,1.04885304,NA,NA,0.882865787,20.40752957,42.35692972
218,109,Neuss I,905,2002,0,1,44.7498436,38.61270142,43.60741806,40.41539001,0.900128603,0.958460748,-3.720222473,42.33292389,0.8327052,22.39999962,39.40000153
219,110,Mšnchengladbach,905,1998,0,0,47.67778397,42.50984955,41.11613464,37.3651886,0,1.114556789,NA,NA,1.564232588,22.20157088,39.26871228
220,110,Mšnchengladbach,905,2002,0,1,42.38589478,37.99285507,43.62422562,40.79607391,0.955026031,1.145886898,-4.516994476,42.50984955,1.545634747,23.70000076,34.90000153
221,111,Krefeld I - Neuss II,905,1998,0,0,42.76549149,41.02156448,46.69179916,38.45475388,0.853806615,1.024804115,NA,NA,0.906559825,21.38766039,44.75814667
222,111,Krefeld I - Neuss II,905,2002,0,1,42.05307388,37.11890411,43.54880905,39.27796555,0.909315884,0.989260316,-3.90266037,41.02156448,0.920384049,24.20000076,37.59999847
223,112,Viersen,905,1998,0,0,44.44894028,41.13970566,44.59160233,38.79885864,0.844201803,0.954051852,NA,NA,0.518107176,21.17112861,43.72612054
224,112,Viersen,905,2002,0,1,41.12001801,37.26034927,44.13423538,40.71077728,0.844881773,0.902384996,-3.879356384,41.13970566,0.5324561,22.39999962,40.09999847
225,113,Kleve,905,1998,0,0,43.1317215,40.19842911,47.32061768,43.5537262,0.733243823,0.78124553,NA,NA,0.236470431,20.59085139,40.03532102
226,113,Kleve,905,2002,0,1,41.99994278,37.1270256,46.13673782,44.2821579,0.871147573,0.769659638,-3.071403503,40.19842911,0.241859451,21.79999924,36.20000076
227,114,Wesel I,905,1998,0,0,54.94447327,50.60731888,35.90227509,32.30768585,0,1.003393292,NA,NA,0.432643473,21.08803124,46.23272277
228,114,Wesel I,905,2002,0,1,50.02488327,46.08107758,37.18686676,33.1831398,0.911822379,0.925096035,-4.526241302,50.60731888,0.304895073,22.79999924,45.40000153
229,115,Krefeld II - Wesel II,905,1998,0,0,51.67756653,50.14258194,38.05163574,31.47223282,0.351086825,1.11117065,NA,NA,1.008562565,21.80445402,45.13714762
230,115,Krefeld II - Wesel II,905,2002,0,1,51.49850845,46.67417908,34.28847885,31.34083366,1.14171946,1.222354412,-3.468402863,50.14258194,1.436850309,22.79999924,28.10000038
231,116,Duisburg I,905,1998,0,0,61.02931976,57.52066422,26.92935181,23.93004036,1.335226536,1.724749207,NA,NA,1.991433978,24.12985914,40.21285868
232,116,Duisburg I,905,2002,0,1,57.54104233,53.54089737,27.88717079,24.98566437,2.013171911,1.915818691,-3.979766846,57.52066422,1.960390806,25.60000038,36.90000153
233,117,Duisburg II,905,1998,0,0,66.40945435,62.87236023,23.18478012,20.89867973,1.45815289,1.671386123,NA,NA,2.700771332,24.12986076,40.21286068
234,117,Duisburg II,905,2002,0,1,63.12120438,58.99823761,24.53056335,22.84697151,2.064602613,1.732138395,-3.87412262,62.87236023,2.611187696,25.60000038,36.90000153
235,118,Oberhausen - Wesel III,905,1998,0,0,65.21490479,61.33634949,25.09061623,23.27636147,0,1.219831467,NA,NA,1.960058808,23.29882161,35.06976665
236,118,Oberhausen - Wesel III,905,2002,0,1,61.75738525,56.94654465,25.47543907,24.02542686,1.519486547,1.422617078,-4.38980484,61.33634949,2.384195566,24.79999924,34.09999847
237,119,MŸlheim - Essen I,905,1998,0,0,58.39890289,56.52500534,30.29474258,26.46046829,0.429883689,1.220305681,NA,NA,2.591092587,25.83429638,36.02491184
238,119,MŸlheim - Essen I,905,2002,0,1,53.53310776,51.5664444,30.85941124,27.57769585,1.261712551,1.279842615,-4.958560944,56.52500534,2.273996592,27.79999924,26.89999962
239,120,Essen II,905,1998,0,0,63.25592422,59.92597961,25.61434746,23.01976585,1.440226436,1.683823943,NA,NA,3.244400978,25.37466083,29.92507983
240,120,Essen II,905,2002,0,1,60.93401337,54.52120209,26.63096809,24.4908638,1.581403971,1.665275693,-5.404777527,59.92597961,3.208156347,26.70000076,26.89999962
241,121,Essen III,905,1998,0,0,51.08116913,48.07416153,36.16216278,30.12388611,1.234553814,1.535864472,NA,NA,2.204074621,25.37465964,29.92507938
242,121,Essen III,905,2002,0,1,49.75955582,44.074543,35.18349075,30.88679695,1.290232778,1.491482496,-3.99961853,48.07416153,2.439729691,26.70000076,26.89999962
243,122,Recklinghausen I,905,1998,0,0,58.84560776,56.98057556,30.08882332,26.67807961,1.239896178,1.307145357,NA,NA,1.414346457,22.42285896,46.63013258
244,122,Recklinghausen I,905,2002,0,1,56.15914917,53.14789963,30.58483887,28.02107239,1.271986604,1.162757039,-3.832675934,56.98057556,1.406961203,23.89999962,29
245,123,Recklinghausen II,905,1998,0,0,58.47660446,57.0675621,31.14390945,27.62905312,1.187299252,1.203284383,NA,NA,0.584659934,23.14036661,46.63013086
246,123,Recklinghausen II,905,2002,0,1,56.5583992,53.01923752,30.77610397,28.42083931,1.307339787,1.068802595,-4.048324585,57.0675621,0.696702898,23.89999962,39
247,124,Gelsenkirchen,905,1998,0,0,64.30260468,62.32077408,24.28265381,21.94554138,1.411295295,1.540403485,NA,NA,2.605202198,24.6776187,46.6301313
248,124,Gelsenkirchen,905,2002,0,1,60.27557755,56.48921204,25.7440834,23.95889854,1.352694511,1.423018336,-5.831562042,62.32077408,2.554556847,25.70000076,33.79999924
249,125,Steinfurt I - Borken I,905,1998,0,0,44.76912689,41.36857224,46.93041229,42.22600937,0.197873175,0.69092232,NA,NA,0.227085695,18.31076805,48.37860841
250,125,Steinfurt I - Borken I,905,2002,0,1,41.08979034,37.69828796,48.21163559,43.77897263,0.662572086,0.698521852,-3.670284271,41.36857224,0.27133584,20.89999962,39.09999847
251,126,Bottrop - Recklinghausen III,905,1998,0,0,60.90541458,58.03187561,30.06494904,27.11816978,1.34574914,1.289445519,NA,NA,0.899951339,22.82175358,46.63013228
252,126,Bottrop - Recklinghausen III,905,2002,0,1,57.61004639,53.11006927,30.40945244,28.76018333,1.245345712,1.24607408,-4.921806335,58.03187561,0.917992353,24.10000038,41.40000153
253,127,Borken II,905,1998,0,0,40.8576622,38.51781082,50.91211319,45.98753738,0.483016014,0.621823907,NA,NA,0.289797574,19.37814886,50.25714964
254,127,Borken II,905,2002,0,1,37.14200974,33.50438309,51.53141022,47.90702438,0.708395481,0.676465094,-5.013427734,38.51781082,0.253653288,19.60000038,50.90000153
255,128,Coesfeld - Steinfurt II,905,1998,0,0,39.99247742,37.04613495,50.32590103,44.32207108,0,0.790614605,NA,NA,0.187839478,18.00955027,42.76602264
256,128,Coesfeld - Steinfurt II,905,2002,0,1,37.60053253,34.10742188,49.2857933,44.61661148,0.697381377,0.737197816,-2.938713074,37.04613495,0.188387036,19.5,36.90000153
257,129,Steinfurt III,905,1998,0,0,50.65258789,47.2536087,40.81736374,35.50252151,0,0.762229204,NA,NA,0.254413515,19.33121864,48.04519899
258,129,Steinfurt III,905,2002,0,1,47.15058899,44.02536774,41.80515289,36.46097946,0.936666608,0.798324585,-3.228240967,47.2536087,0.226286173,20.89999962,44.59999847
259,130,MŸnster,905,1998,0,0,41.84502029,36.35894775,44.21495056,35.15125275,0.974421501,1.470213294,NA,NA,0.876123369,19.99451081,21.21220043
260,130,MŸnster,905,2002,0,1,40.835392,36.22109222,39.85603714,34.26039124,1.001924276,1.399484992,-0.13785553,36.35894775,0.872668386,21.29999924,19.10000038
261,131,Warendorf,905,1998,0,0,41.97569656,41.47827148,46.91319275,40.65888214,0.796145022,0.908821642,NA,NA,0.207634702,19.86408986,54.71833285
262,131,Warendorf,905,2002,0,1,39.79930878,38.52639771,45.30926895,41.67217255,0.896847785,0.832051754,-2.951873779,41.47827148,0.21080704,21.29999924,50.29999924
263,132,GŸtersloh,905,1998,0,0,43.46386719,40.8647995,46.04330444,39.92560959,0.807839274,0.962341845,NA,NA,0.345200717,19.53883932,57.76567671
264,132,GŸtersloh,905,2002,0,1,40.42919922,37.13694763,46.17634201,41.91375732,0.847449064,0.849985778,-3.727851868,40.8647995,0.355495363,20.89999962,52.29999924
265,133,Bielefeld,905,1998,0,0,50.16098022,44.84848785,36.97280121,31.47344971,1.29075563,1.820866346,NA,NA,1.148633003,24.05007972,36.12781873
266,133,Bielefeld,905,2002,0,1,49.84416199,41.54896927,36.05582809,31.94107437,1.628327727,1.812906027,-3.299518585,44.84848785,1.13874805,25.29999924,32.79999924
267,134,Herford - Minden-LŸbbecke II,905,1998,0,0,52.71731186,48.47363663,38.7313652,34.11953735,0,1.066658378,NA,NA,0.538751662,23.82434003,47.83361965
268,134,Herford - Minden-LŸbbecke II,905,2002,0,1,49.69097519,45.06678009,38.16890335,35.38378906,1.007096529,1.010030627,-3.406856537,48.47363663,0.592820346,25.10000038,46.40000153
269,135,Minden-LŸbbecke I,905,1998,0,0,53.21757889,48.75027084,37.19414902,33.4728775,0,0.93061763,NA,NA,0.269465327,23.35930123,47.83361675
270,135,Minden-LŸbbecke I,905,2002,0,1,49.708992,44.89638901,37.70247269,34.87388611,0.782236457,0.910972595,-3.853881836,48.75027084,0.248903498,24.5,44.59999847
271,136,Lippe I,905,1998,0,0,52.22408676,49.34275055,36.84371948,32.10510635,0.900274158,1.029123306,NA,NA,0.303292394,23.27531081,55.52796959
272,136,Lippe I,905,2002,0,1,49.54473877,45.85176086,36.2579155,33.61778641,0.921617448,0.973976493,-3.490989685,49.34275055,0.305831075,24.5,50.70000076
273,137,Hšxter - Lippe II,905,1998,0,0,42.58281708,40.76692581,47.17252731,41.74312973,0.841327667,0.902204514,NA,NA,0.17133595,21.91534103,42.08011948
274,137,Hšxter - Lippe II,905,2002,0,1,40.16876221,36.91450119,47.1531105,44.17847061,0.842685521,0.801107168,-3.852424622,40.76692581,0.172184333,23.39999962,38.29999924
275,138,Paderborn,905,1998,0,0,33.83085251,32.56361008,53.86969376,49.81842422,0,0.804336727,NA,NA,0.225585505,18.09157041,46.34121009
276,138,Paderborn,905,2002,0,1,31.38290405,29.12579727,53.56288147,52.23530579,0.722902894,0.822640181,-3.437812805,32.56361008,0.23092787,19.29999924,39.90000153
277,139,Hagen - Ennepe-Ruhr-Kreis I,905,1998,0,0,56.00401306,51.9943161,33.23882675,29.26468849,0.731089592,1.166709065,NA,NA,1.019890308,24.19447678,43.64795688
278,139,Hagen - Ennepe-Ruhr-Kreis I,905,2002,0,1,55.22148514,48.96828079,32.79372787,30.93543434,0.949519157,1.142242074,-3.026035309,51.9943161,0.95888406,26,42.20000076
279,140,Ennepe-Ruhr-Kreis II,905,1998,0,0,58.64679337,55.56796646,29.71949196,25.40802383,0.490165234,1.214030981,NA,NA,1.040816665,23.89526057,46.67261571
280,140,Ennepe-Ruhr-Kreis II,905,2002,0,1,55.68975067,51.55350494,29.98079872,26.85793304,1.276921391,1.281100392,-4.014461517,55.56796646,1.014276266,25.20000076,44.59999847
281,141,Bochum I,905,1998,0,0,59.15633011,56.77756119,28.84911346,24.54461098,1.351613045,1.489780903,NA,NA,3.042931795,24.00274057,41.76352006
282,141,Bochum I,905,2002,0,1,56.9822731,52.00506973,28.36081314,25.46505928,1.678684592,1.822948098,-4.772491455,56.77756119,2.884492397,25.20000076,35.29999924
283,142,Herne - Bochum II,905,1998,0,0,65.33152771,62.89822006,24.32508469,21.29996109,1.499131083,1.493330359,NA,NA,2.681951284,24.18254439,41.76351904
284,142,Herne - Bochum II,905,2002,0,1,61.48546219,57.79203033,25.80621529,23.24575233,1.701303005,1.618075609,-5.106189728,62.89822006,2.960022449,25.39999962,28.60000038
285,143,Dortmund I,905,1998,0,0,57.67605972,55.25524139,27.96717262,24.67486954,2.185786247,1.670323133,NA,NA,2.595935583,23.98776255,37.49875307
286,143,Dortmund I,905,2002,0,1,57.81391144,51.7521019,27.37340355,25.12787628,1.812033176,1.83402729,-3.503139496,55.25524139,1.905030489,25.10000038,25.89999962
287,144,Dortmund II,905,1998,0,0,60.53616333,58.16003799,26.94754028,23.76938057,1.770954967,1.602379203,NA,NA,1.644710541,23.68950079,33.13408068
288,144,Dortmund II,905,2002,0,1,59.97048187,54.48931503,27.11224556,24.86207962,1.620104313,1.621216536,-3.670722961,58.16003799,2.414314508,25.10000038,25.89999962
289,145,Unna I,905,1998,0,0,59.32590485,56.91748428,28.78641129,25.48876381,1.015431523,1.198427558,NA,NA,0.803676784,21.14176883,42.62105915
290,145,Unna I,905,2002,0,1,56.42270279,53.32022476,29.51509666,26.84352684,1.119565248,1.09447217,-3.597259521,56.91748428,0.815017343,22.60000038,35.79999924
291,146,Hamm - Unna II,905,1998,0,0,55.43766785,53.46403885,36.14540482,31.67345428,1.184804082,1.165220499,NA,NA,0.780087829,21.80251003,41.14420045
292,146,Hamm - Unna II,905,2002,0,1,54.29441452,50.49687195,35.55258942,32.57764435,1.166858077,0.98255372,-2.967166901,53.46403885,0.781452775,23,37.09999847
293,147,Soest,905,1998,0,0,45.45542526,43.12897491,44.40181732,38.46183014,0,0.946559012,NA,NA,0.226517648,20.92890975,48.83744037
294,147,Soest,905,2002,0,1,42.90026093,38.62044907,44.23455429,40.18038177,1.32054925,1.001873016,-4.508525848,43.12897491,0.230012551,22.39999962,45.90000153
295,148,Hochsauerlandkreis,905,1998,0,0,41.67446518,39.38679886,51.38373947,45.04256439,0,0.708446205,NA,NA,0.145397574,21.96299006,53.86471272
296,148,Hochsauerlandkreis,905,2002,0,1,36.96061325,34.41611099,53.7460556,48.53417206,0.798918486,0.725346386,-4.970687866,39.38679886,0.144737035,23.60000038,51.79999924
297,149,Siegen-Wittgenstein,905,1998,0,0,47.86182404,46.77673721,41.83245468,34.85937881,0,1.130202651,NA,NA,0.24574922,21.25836675,47.01914486
298,149,Siegen-Wittgenstein,905,2002,0,1,44.26652145,41.79185486,42.95918274,38.12319946,0.891003549,1.011943817,-4.984882355,46.77673721,0.262829214,23.20000076,46.09999847
299,150,Olpe - MŠrkischer Kreis I,905,1998,0,0,43.35527802,40.85215378,47.26137161,41.85583115,0,0.959046006,NA,NA,0.281493843,20.54481617,63.53194094
300,150,Olpe - MŠrkischer Kreis I,905,2002,0,1,39.94960022,37.05275726,48.18664932,44.14819336,0.974728346,0.863070488,-3.799396515,40.85215378,0.258731276,21,59.59999847
301,151,MŠrkischer Kreis II,905,1998,0,0,50.95822906,46.3060379,39.64849854,34.4771843,0,1.126827717,NA,NA,0.474808931,21.3257404,58.99064161
302,151,MŠrkischer Kreis II,905,2002,0,1,49.64932632,43.11762238,38.63504028,37.00801468,0.813736141,0.90417105,-3.188415527,46.3060379,0.486919552,22.89999962,57.90000153
303,152,Delitzsch - Torgau-Oschatz - Riesa,914,1998,0,0,33.83649445,32.10829926,34.39169693,30.31241608,20.79091454,20.99913979,NA,NA,0.129212767,21.51483698,42.63458351
304,152,Delitzsch - Torgau-Oschatz - Riesa,914,2002,1,1,34.8724823,35.96105957,38.73667526,33.25179672,17.42168427,16.44892502,3.852760315,32.10829926,0.128681794,23,34.09999847
305,153,Leipzig I,914,1998,0,0,38.43965149,36.22673416,28.43393326,25.14627838,22.24468422,21.90402985,NA,NA,1.379442692,23.01355335,27.75527096
306,153,Leipzig I,914,2002,1,1,40.69507599,39.82398224,27.87874031,25.20042992,19.98544502,17.56365204,3.597248077,36.22673416,1.39947176,25.29999924,21.20000076
307,154,Leipzig II,914,1998,0,0,36.65749741,36.45939636,26.25701714,24.13984299,25.4899025,22.47239304,NA,NA,1.982172251,23.04089679,26.51544144
308,154,Leipzig II,914,2002,1,1,39.93087387,40.57727814,23.91949654,22.71177101,23.43507385,17.82099533,4.117881775,36.45939636,1.976562738,25.29999924,21.20000076
309,155,Leipziger-Land - Muldentalkreis,914,1998,0,0,36.14119339,33.53900146,36.12498856,30.15109825,18.0219841,19.55413437,NA,NA,0.184239075,22.47446091,45.41633519
310,155,Leipziger-Land - Muldentalkreis,914,2002,1,1,39.74414063,37.67045593,35.02926254,32.06163406,15.31041431,15.29502106,4.131454468,33.53900146,0.176186845,23.70000076,37.09999847
