"","nr","formulario","time","pidstr","frm2","frm3","frm4","age","female","income","educgrp","cordoba","info","pid","polar","mandate"
"280",280,2,3,9,1,0,0,64,1,3,1,1,1,1,NA,1
"281",281,2,2,NA,1,0,0,46,1,NA,4,1,2,0,2,NA
"282",282,3,2,NA,0,1,0,63,0,5,2,1,1,0,6,1
"283",283,3,2,NA,0,1,0,40,1,NA,4,1,1,0,6,1
"284",284,1,3,NA,0,0,0,61,1,7,2,1,1,0,NA,1
"285",285,4,2,NA,0,0,1,29,1,NA,3,1,0,0,7,2
"286",286,1,3,NA,0,0,0,47,0,NA,3,1,2,0,7,1
"287",287,2,2,9,1,0,0,26,1,6,2,1,0,1,7,1
"288",288,2,3,NA,1,0,0,20,1,NA,4,1,0,0,3,1
"289",289,4,2,NA,0,0,1,34,0,NA,3,1,2,0,6,1
"290",290,1,3,5,0,0,0,46,0,6,2,1,1,1,6,1
"291",291,2,1,NA,1,0,0,30,0,NA,3,1,1,0,5,1
"292",292,2,3,NA,1,0,0,19,0,NA,3,1,1,0,4,4
"293",293,3,2,NA,0,1,0,61,0,NA,3,1,0,0,7,1
"294",294,3,2,NA,0,1,0,83,1,NA,3,1,1,0,NA,3
"295",295,4,2,NA,0,0,1,34,1,NA,3,1,1,0,NA,1
"296",296,4,2,NA,0,0,1,56,0,6,2,1,1,0,4,4
"297",297,4,2,NA,0,0,1,51,0,6,2,1,1,0,7,1
"298",298,1,2,NA,0,0,0,20,1,7,3,1,1,0,7,1
"299",299,3,2,NA,0,1,0,45,0,NA,3,1,1,0,2,1
"300",300,1,2,NA,0,0,0,27,1,NA,3,1,1,0,NA,3
"301",301,3,1,NA,0,1,0,37,0,NA,4,1,1,0,9,2
"302",302,4,1,NA,0,0,1,62,1,3,2,1,1,0,5,3
"303",303,4,1,NA,0,0,1,57,1,NA,4,1,0,0,NA,1
"304",304,1,1,NA,0,0,0,61,1,5,3,1,2,0,3,1
"305",305,2,1,NA,1,0,0,80,1,3,2,1,2,0,NA,1
"306",306,1,2,NA,0,0,0,64,1,NA,2,1,0,0,NA,1
"307",307,3,1,NA,0,1,0,72,1,4,2,1,2,0,2,1
"308",308,2,1,NA,1,0,0,56,1,NA,2,1,1,0,NA,1
"309",309,4,1,NA,0,0,1,27,1,5,4,1,1,0,4,3
"310",310,3,1,NA,0,1,0,109,0,NA,3,1,2,0,NA,NA
"311",311,1,2,8,0,0,0,37,0,4,4,1,1,1,8,4
"312",312,4,1,NA,0,0,1,84,1,3,1,1,0,0,NA,1
"313",313,2,2,9,1,0,0,73,0,4,2,1,1,1,9,1
"314",314,1,1,NA,0,0,0,26,0,5,2,1,1,0,9,2
"315",315,3,1,8,0,1,0,46,0,5,3,1,1,1,NA,1
"316",316,2,1,NA,1,0,0,27,1,6,3,1,1,0,NA,1
"317",317,4,1,NA,0,0,1,33,1,8,4,1,1,0,NA,1
"318",318,1,1,NA,0,0,0,54,1,6,4,1,2,0,7,3
"319",319,3,1,NA,0,1,0,44,0,8,4,1,1,0,9,1
"320",320,2,3,NA,1,0,0,45,0,6,3,1,1,1,NA,1
"321",321,1,1,NA,0,0,0,34,1,5,2,1,1,0,NA,1
"322",322,1,1,NA,0,0,0,28,1,1,2,1,2,0,0,1
"323",323,2,1,7,1,0,0,17,0,NA,2,1,1,1,6,1
"324",324,2,1,NA,1,0,0,49,0,4,1,1,2,0,5,1
"325",325,1,1,8,0,0,0,82,1,3,1,1,0,1,7,4
"326",326,3,1,NA,0,1,0,52,1,3,2,1,1,0,0,1
"327",327,3,1,NA,0,1,0,47,1,5,2,1,1,0,6,1
"328",328,4,2,NA,0,0,1,89,1,3,1,1,1,0,NA,1
"329",329,4,1,NA,0,0,1,24,0,2,2,1,1,0,7,3
"330",330,2,2,6,1,0,0,44,1,NA,3,1,2,1,NA,2
"331",331,3,1,NA,0,1,0,22,1,NA,2,1,2,0,NA,1
